deviceId,timestamp,accel_x,accel_y,accel_z,vibration_magnitude,status,time_diff
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:11:59,0.4999999,-8.800002,3.25,9.394282042817535,NORMAL,5.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:12:04,0.8999998,-7.9999995,3.75,8.881018615001338,NORMAL,5.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:12:10,1.6999999,-7.9999995,3.75,8.997360260654247,NORMAL,6.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:12:19,1.0999998,-8.2,5.25,9.79859681587114,NORMAL,9.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:12:24,0.39999992,-8.600001,4.75,9.8327268413193,NORMAL,5.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:12:29,0.49999976,-9.0,4.5,10.074720827893945,NORMAL,5.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:12:34,0.5999999,-7.2000012,2.75,7.730622042242231,NORMAL,5.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:12:44,0.4999999,-8.6,4.25,9.605857582746061,NORMAL,10.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:12:50,1.3999997,-9.800001,2.5,10.210289847012234,NORMAL,6.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:12:55,0.2999999,-7.8,2.75,8.276019571025676,NORMAL,5.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:13:10,0.7999997,-8.600001,3.75,9.41607756552595,NORMAL,15.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:13:12,0.49999988,-8.400001,3.25,9.020671631314434,NORMAL,2.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:13:33,0.89999974,-8.800001,3.5,9.513149695658166,NORMAL,21.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:13:38,0.099999905,-8.6,4.0,9.485251708889965,NORMAL,5.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:14:10,0.7999997,-8.800001,3.5,9.504210494302043,NORMAL,32.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:15:10,0.6999997,-8.6,4.0,9.51052046840761,NORMAL,60.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:16:10,0.69999963,-8.600001,3.25,9.220223244694303,NORMAL,60.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:17:10,0.7,-8.800001,3.75,9.591272991631559,NORMAL,60.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:17:14,0.8999996,-8.8,3.5,9.513148757377873,NORMAL,4.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:18:10,0.5999996,-8.800001,3.75,9.584493576605974,NORMAL,56.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:19:04,0.8999996,-8.8,3.75,9.607939387818814,NORMAL,54.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:19:10,1.0,-8.8,3.75,9.617821998768745,NORMAL,6.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:19:44,-0.30000043,-8.0,4.75,9.308732473221056,NORMAL,34.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:19:49,4.3,6.6,-6.25,10.055471147589257,NORMAL,5.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,2020-08-17 11:19:59,2.0000002,-6.8,3.0,7.696752613927515,NORMAL,10.0
